,face_size,avg_intensity,std_intensity
count,4.0,4.0,4.0
mean,86299.5,119.0021018285984,32.60385956465573
std,8542.825469363166,11.179733219452746,1.005701128312182
min,76729.0,107.87836949375411,31.803730849192924
25%,82257.25,112.95178619032319,31.93303286321335
50%,85562.5,116.94558771238812,32.296839942190864
75%,89604.75,122.99590335066335,32.967666643633244
max,97344.0,134.23886239586326,34.018027525048254
